Company Name,Primary NAICS Description,D-U-N-S@ Number,Web Address (URL),Industry,tier,concrete restoration,epoxy coatings,floor coatings,floor demo,floor demolition,floor maintenance,flooring maintenance,floor restoration,flooring restoration,surface preparation,concrete AND flooring,concrete AND surfacing,concrete AND restoration,concrete AND coating,concrete AND construction,concrete AND polishing,concrete AND painting,concrete AND demolition,concrete AND epoxy,flooring,surfacing,coating,construction,polishing,painting,demolition,epoxy
"ACE EXPRESS, INC.",All Other Business Support Services,03-696-4125,WWW.0386.CXTSOFTWARE.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S H FREUND & SON INC,Residential Remodelers,02-562-8819,WWW.100YEARCONTRACTOR.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101 HOME TEXTILE CREATIONS, INC.",Home Furnishing Merchant Wholesalers,07-958-2234,WWW.101HOMETEXTILECREATIONS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 ROOFING & CONSTRUCTION,Roofing Contractors,19-116-1962,WWW.101ROOFING.WORDPRESS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE BEAUTY SUPPLY OF LOUISVILLE INC,Service Establishment Equipment and Supplies Merchant Wholesalers,96-530-2524,WWW.10400.STATE-RDA-STORE.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERNAYA ENTERPRISES LLC,Other Management Consulting Services,18-795-6474,WWW.10425254.USCOMPANIESDATA.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 NOVEMBER LLC,New Single-Family Housing Construction (except For-Sale Builders),06-059-3398,WWW.10NOVGROUP.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10TH MAGNITUDE, LLC",Other Management Consulting Services,07-866-2619,WWW.10THMAGNITUDE.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10X TECHNOLOGY, L.L.C.",All Other Business Support Services,14-648-1713,WWW.10XTECHNOLOGY.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXIS INTERNATIONAL MARKETING LTD,Home Furnishing Merchant Wholesalers,05-287-8456,WWW.123AXIS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.500 COMMERCIAL WINDOW COVERINGS INC,Home Furnishing Merchant Wholesalers,10-300-5799,WWW.12500-COMMERCIAL-WINDOW-COVERINGS.HUB.BIZ,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
